Tourist_Type,Interest_Category,Budget,Season,Recommended_Activity
Group,Relaxation,Low,Fall,Excursion to Djerba Explore Park
Group,Culture,Low,Winter,Relax at Sidi Mahres Beach
Group,Relaxation,High,Fall,Kitesurfing
Solo,Culture,High,Fall,Visit Guellala Museum
Couple,Relaxation,Low,Spring,Luxury Spa Retreat
Couple,Relaxation,Low,Spring,Artisan Market Shopping
Solo,Relaxation,High,Spring,Artisan Market Shopping
Family,Culture,High,Winter,Relax at Sidi Mahres Beach
Family,Relaxation,High,Spring,Excursion to Djerba Explore Park
Group,Culture,Medium,Winter,Kitesurfing
Family,Culture,Low,Fall,Explore Borj El Kebir Fort
Solo,Relaxation,High,Winter,Visit Guellala Museum
Solo,Culture,Medium,Winter,Explore Borj El Kebir Fort
Group,Adventure,Low,Fall,Explore Borj El Kebir Fort
